,id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier,playerId,playerName,keyPass,assist,type,endY,endX,Angle,Zone,Length,longBall,Cross,throughBall,freeKick,Corner,Penalty,Foul,fastBreak,ownGoal,Yellow,Red,jerseyNum,throwIn,goalKick,Saved,Missed,bigChance,blockedX,blockedY,isHeader,Blocked,h_a
794,2694247253,346,3,1,48,33,dqq34048nqex146r77i5l8twq,Successful,83.6,11.4,2024-06-02T21:44:30.497Z,2024-06-02T21:44:32Z,"[{'id': 5067374077, 'qualifierId': 233, 'value': '447', 'Name': 'not sure!'}, {'id': 5067374035, 'qualifierId': 286, 'Name': 'not sure!'}, {'id': 5067374033, 'qualifierId': 56, 'value': 'Right', 'Name': 'Zone'}]",czazwj4nt23bydpdi67i0wga2,L. Abada,,,take_on,,,,Right,,,,,,,,,,,,,,,,,,,,,,,a
795,2694247243,447,45,1,48,33,943ue6l8ylnidoygbi9p8op2h,Unsuccessful,16.4,88.6,2024-06-02T21:44:30.497Z,2024-06-02T21:44:32Z,"[{'id': 5067373989, 'qualifierId': 56, 'value': 'Back', 'Name': 'Zone'}, {'id': 5067374113, 'qualifierId': 233, 'value': '346', 'Name': 'not sure!'}, {'id': 5067373991, 'qualifierId': 285, 'Name': 'not sure!'}]",66fdz442trpbwdi3s7i8ktxw5,T. Muyumba,,,challenge,,,,Back,,,,,,,,,,,,,,,,,,,,,,,h
796,2694247265,347,1,1,48,35,dqq34048nqex146r77i5l8twq,Unsuccessful,86.0,24.0,2024-06-02T21:44:31.931Z,2024-06-02T21:44:33Z,"[{'id': 5067374133, 'qualifierId': 56, 'value': 'Center', 'Name': 'Zone'}, {'id': 5067374137, 'qualifierId': 141, 'value': '37.9', 'Name': 'Pass End Y'}, {'id': 5067374139, 'qualifierId': 212, 'value': '10.4', 'Name': 'Length'}, {'id': 5067374141, 'qualifierId': 213, 'value': '2.00', 'Name': 'Angle'}, {'id': 5067374135, 'qualifierId': 140, 'value': '81.9', 'Name': 'Pass End X'}]",czazwj4nt23bydpdi67i0wga2,L. Abada,,,pass,37.9,81.9,2.0,Center,10.4,,,,,,,,,,,,,,,,,,,,,,a
797,2694247273,448,61,1,48,37,943ue6l8ylnidoygbi9p8op2h,Successful,19.4,63.0,2024-06-02T21:44:33.962Z,2024-06-02T21:44:34Z,"[{'id': 5067374185, 'qualifierId': 56, 'value': 'Back', 'Name': 'Zone'}]",c267r9oskj83zo9v4vdbvccet,S. Lobjanidze,,,ball_touch,,,,Back,,,,,,,,,,,,,,,,,,,,,,,h
798,2694247285,449,49,1,48,38,943ue6l8ylnidoygbi9p8op2h,Successful,14.7,63.9,2024-06-02T21:44:35.216Z,2024-06-02T21:44:35Z,[],2m4iwb3oo5zzfbxrua7ver3kl,D. McCarty,,,ball_recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,h
799,2694247303,450,1,1,48,38,943ue6l8ylnidoygbi9p8op2h,Successful,14.7,63.9,2024-06-02T21:44:35.297Z,2024-06-02T21:44:39Z,"[{'id': 5067374363, 'qualifierId': 212, 'value': '13.3', 'Name': 'Length'}, {'id': 5067374359, 'qualifierId': 140, 'value': '27.1', 'Name': 'Pass End X'}, {'id': 5067374361, 'qualifierId': 141, 'value': '67.6', 'Name': 'Pass End Y'}, {'id': 5067374357, 'qualifierId': 56, 'value': 'Back', 'Name': 'Zone'}, {'id': 5067374365, 'qualifierId': 213, 'value': '0.19', 'Name': 'Angle'}]",2m4iwb3oo5zzfbxrua7ver3kl,D. McCarty,,,pass,67.6,27.1,0.19,Back,13.3,,,,,,,,,,,,,,,,,,,,,,h
800,2694247321,451,1,1,48,42,943ue6l8ylnidoygbi9p8op2h,Successful,44.3,53.6,2024-06-02T21:44:39.105Z,2024-06-02T21:44:45Z,"[{'id': 5067374493, 'qualifierId': 140, 'value': '70.2', 'Name': 'Pass End X'}, {'id': 5067374497, 'qualifierId': 141, 'value': '9.1', 'Name': 'Pass End Y'}, {'id': 5067374505, 'qualifierId': 213, 'value': '5.44', 'Name': 'Angle'}, {'id': 5067374507, 'qualifierId': 1, 'Name': 'Long ball'}, {'id': 5067374501, 'qualifierId': 212, 'value': '40.7', 'Name': 'Length'}, {'id': 5067374489, 'qualifierId': 56, 'value': 'Right', 'Name': 'Zone'}]",4ea0sjczqa5ah1w720zlakkfe,T. Almada,,,pass,9.1,70.2,5.44,Right,40.7,True,,,,,,,,,,,,,,,,,,,,,h
801,2694247333,452,1,1,48,48,943ue6l8ylnidoygbi9p8op2h,Successful,70.5,9.1,2024-06-02T21:44:44.929Z,2024-06-02T21:45:04Z,"[{'id': 5067374575, 'qualifierId': 140, 'value': '90.3', 'Name': 'Pass End X'}, {'id': 5067374579, 'qualifierId': 212, 'value': '21.9', 'Name': 'Length'}, {'id': 5067374577, 'qualifierId': 141, 'value': '19.4', 'Name': 'Pass End Y'}, {'id': 5067374581, 'qualifierId': 213, 'value': '0.32', 'Name': 'Angle'}, {'id': 5067374573, 'qualifierId': 56, 'value': 'Right', 'Name': 'Zone'}]",234q7lf0bx51r8wehvg51r4k5,B. Lennon,,,pass,19.4,90.3,0.32,Right,21.9,,,,,,,,,,,,,,,,,,,,,,h
802,2694247327,348,83,1,48,51,dqq34048nqex146r77i5l8twq,Unsuccessful,10.7,86.0,2024-06-02T21:44:47.858Z,2024-06-02T21:45:02Z,"[{'id': 5067374931, 'qualifierId': 399, 'value': '4ea0sjczqa5ah1w720zlakkfe', 'Name': 'not sure!'}]",6oaqk4pdojnlefa3zubsysmvp,J. Uronen,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,a
803,2694247343,453,61,1,48,54,943ue6l8ylnidoygbi9p8op2h,Unsuccessful,98.1,5.8,2024-06-02T21:44:51.090Z,2024-06-02T21:44:51Z,"[{'id': 5067374645, 'qualifierId': 56, 'value': 'Right', 'Name': 'Zone'}]",4ea0sjczqa5ah1w720zlakkfe,T. Almada,,,ball_touch,,,,Right,,,,,,,,,,,,,,,,,,,,,,,h
804,2694247349,349,5,1,48,54,dqq34048nqex146r77i5l8twq,Successful,-0.5,94.6,2024-06-02T21:44:51.602Z,2024-06-02T21:48:47Z,"[{'id': 5067374667, 'qualifierId': 346, 'Name': 'not sure!'}, {'id': 5067374665, 'qualifierId': 56, 'value': 'Back', 'Name': 'Zone'}, {'id': 5067374671, 'qualifierId': 233, 'value': '454', 'Name': 'not sure!'}]",6oaqk4pdojnlefa3zubsysmvp,J. Uronen,,,out,,,,Back,,,,,,,,,,,,,,,,,,,,,,,a
805,2694247347,454,5,1,48,54,943ue6l8ylnidoygbi9p8op2h,Unsuccessful,100.5,5.4,2024-06-02T21:44:51.602Z,2024-06-02T21:44:52Z,"[{'id': 5067374661, 'qualifierId': 56, 'value': 'Right', 'Name': 'Zone'}, {'id': 5067374663, 'qualifierId': 346, 'Name': 'not sure!'}, {'id': 5067374687, 'qualifierId': 233, 'value': '349', 'Name': 'not sure!'}]",4ea0sjczqa5ah1w720zlakkfe,T. Almada,,,out,,,,Right,,,,,,,,,,,,,,,,,,,,,,,h
806,2694247441,350,30,1,49,10,dqq34048nqex146r77i5l8twq,Successful,0.0,0.0,2024-06-02T21:45:07.260Z,2024-06-02T21:45:12Z,"[{'id': 5067375193, 'qualifierId': 57, 'value': '0', 'Name': 'End type'}]",,,,,end_of_period,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,2694247437,455,30,1,49,10,943ue6l8ylnidoygbi9p8op2h,Successful,0.0,0.0,2024-06-02T21:45:07.260Z,2024-06-02T21:54:22Z,"[{'id': 5067375189, 'qualifierId': 57, 'value': '0', 'Name': 'End type'}]",,,,,end_of_period,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,2694250309,352,32,2,45,0,dqq34048nqex146r77i5l8twq,Successful,0.0,0.0,2024-06-02T22:00:31.472Z,2024-06-02T22:00:31Z,"[{'id': 5067392519, 'qualifierId': 127, 'value': 'Left to Right', 'Name': 'Right to Left Left to Right'}]",,,,,start_of_period,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,2694250319,464,32,2,45,0,943ue6l8ylnidoygbi9p8op2h,Successful,0.0,0.0,2024-06-02T22:00:31.472Z,2024-06-02T22:00:32Z,"[{'id': 5067392557, 'qualifierId': 127, 'value': 'Right to Left', 'Name': 'Right to Left Left to Right'}]",,,,,start_of_period,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,2694250341,353,1,2,45,0,dqq34048nqex146r77i5l8twq,Successful,49.8,49.9,2024-06-02T22:00:31.473Z,2024-06-02T22:00:38Z,"[{'id': 5067392673, 'qualifierId': 140, 'value': '29.6', 'Name': 'Pass End X'}, {'id': 5067392679, 'qualifierId': 213, 'value': '2.82', 'Name': 'Angle'}, {'id': 5067392677, 'qualifierId': 212, 'value': '22.4', 'Name': 'Length'}, {'id': 5067392681, 'qualifierId': 279, 'value': 'S', 'Name': 'not sure!'}, {'id': 5067392671, 'qualifierId': 56, 'value': 'Back', 'Name': 'Zone'}, {'id': 5067392675, 'qualifierId': 141, 'value': '60.3', 'Name': 'Pass End Y'}]",ahsgqqn4mjj7isq2x0fdkl49,B. Bronico,,,pass,60.3,29.6,2.82,Back,22.4,,,,,,,,,,,,,,,,,,,,,,a
811,2694250347,354,1,2,45,6,dqq34048nqex146r77i5l8twq,Successful,34.6,52.2,2024-06-02T22:00:38.454Z,2024-06-02T22:00:41Z,"[{'id': 5067392715, 'qualifierId': 213, 'value': '5.77', 'Name': 'Angle'}, {'id': 5067392705, 'qualifierId': 157, 'Name': 'Launch'}, {'id': 5067392709, 'qualifierId': 140, 'value': '75.1', 'Name': 'Pass End X'}, {'id': 5067392707, 'qualifierId': 56, 'value': 'Right', 'Name': 'Zone'}, {'id': 5067392711, 'qualifierId': 141, 'value': '17.3', 'Name': 'Pass End Y'}, {'id': 5067392717, 'qualifierId': 1, 'Name': 'Long ball'}, {'id': 5067392713, 'qualifierId': 212, 'value': '48.7', 'Name': 'Length'}]",22zkj62c3nnd2zerfbntlevze,A. Privett,,,pass,17.3,75.1,5.77,Right,48.7,True,,,,,,,,,,,,,,,,,,,,,a
